dataset,rep,pair,rho_eqsig,rho_eqdam,delta
OpenADMET-Caco2_Efflux,MHG-GNN-pretrained,legacy|valprop,0.9702291586486097,0.8951048951048951,-0.0751242635437146
OpenADMET-Caco2_Efflux,MHG-GNN-pretrained,outlier|quantile,0.8931712471313915,0.8741258741258742,-0.01904537300551734
OpenADMET-Caco2_Efflux,MHG-GNN-pretrained,outlier|threshold,0.9720279720279721,0.9230769230769231,-0.04895104895104896
OpenADMET-Caco2_Efflux,MHG-GNN-pretrained,outlier|valprop,0.8651501883978578,0.8601398601398602,-0.005010328257997632
OpenADMET-Caco2_Efflux,MHG-GNN-pretrained,quantile|threshold,0.8756580854229329,0.8671328671328673,-0.008525218290065584
OpenADMET-Caco2_Efflux,MHG-GNN-pretrained,quantile|valprop,0.9000000000000001,0.8671328671328673,-0.03286713286713283
OpenADMET-Caco2_Efflux,MHG-GNN-pretrained,threshold|valprop,0.900176511814775,0.9230769230769231,0.022900411262148146
OpenADMET-Caco2_Efflux,PDV,hetero|legacy,0.6593406593406593,0.7692307692307693,0.10989010989010994
OpenADMET-Caco2_Efflux,PDV,hetero|outlier,0.5659340659340659,0.6923076923076923,0.12637362637362637
OpenADMET-Caco2_Efflux,PDV,hetero|quantile,0.7032967032967032,0.8681318681318682,0.16483516483516492
OpenADMET-Caco2_Efflux,PDV,hetero|threshold,0.6813186813186813,0.9725274725274725,0.2912087912087912
OpenADMET-Caco2_Efflux,PDV,hetero|valprop,0.6758241758241759,0.9065934065934067,0.23076923076923084
OpenADMET-Caco2_Efflux,PDV,legacy|outlier,0.6318681318681317,0.521978021978022,-0.10989010989010972
OpenADMET-Caco2_Efflux,PDV,legacy|quantile,0.7527472527472527,0.7032967032967032,-0.0494505494505495
OpenADMET-Caco2_Efflux,PDV,legacy|threshold,0.6978021978021978,0.7032967032967032,0.005494505494505475
OpenADMET-Caco2_Efflux,PDV,legacy|valprop,0.9340659340659341,0.9285714285714285,-0.005494505494505586
OpenADMET-Caco2_Efflux,PDV,outlier|quantile,0.9065934065934067,0.8956043956043955,-0.010989010989011172
OpenADMET-Caco2_Efflux,PDV,outlier|threshold,0.8846153846153846,0.7087912087912087,-0.17582417582417587
OpenADMET-Caco2_Efflux,PDV,outlier|valprop,0.532967032967033,0.6208791208791209,0.08791208791208793
OpenADMET-Caco2_Efflux,PDV,quantile|threshold,0.9120879120879121,0.8791208791208791,-0.03296703296703296
OpenADMET-Caco2_Efflux,PDV,quantile|valprop,0.7252747252747254,0.8241758241758241,0.09890109890109877
OpenADMET-Caco2_Efflux,PDV,threshold|valprop,0.5934065934065934,0.8901098901098902,0.29670329670329676
OpenADMET-Caco2_Efflux,SNS,hetero|legacy,0.2937062937062937,0.8671328671328673,0.5734265734265735
OpenADMET-Caco2_Efflux,SNS,hetero|outlier,0.5174825174825175,0.5664335664335665,0.04895104895104896
OpenADMET-Caco2_Efflux,SNS,hetero|quantile,0.34965034965034975,0.7622377622377624,0.41258741258741266
OpenADMET-Caco2_Efflux,SNS,hetero|threshold,0.7412587412587414,0.9160839160839163,0.1748251748251749
