dataset,rep,strategy,sigma,mean_r2,between_sd,range,within_sd,snr,F
OpenADMET-LogD,ECFP4,legacy,0.5,0.5479327819060429,0.13288888010483643,0.42136371172069387,0.0767618773465315,1.7311832995554144,14.984978083297857
OpenADMET-LogD,ECFP4,legacy,0.6,0.5286474075758881,0.15797630810453192,0.5339166534594959,0.07591314580942359,2.0810138536627645,21.65309329568175
OpenADMET-LogD,ECFP4,legacy,0.7,0.5054736918835595,0.156944077221397,0.5259882083772892,0.07673516238015786,2.0452693700427944,20.915633980176246
OpenADMET-LogD,ECFP4,legacy,0.8,0.48208192446121234,0.1835955930889689,0.648566405380164,0.04066947908939763,4.514333529706593,101.89603608716595
OpenADMET-LogD,ECFP4,legacy,0.9,0.4732771452452617,0.18673019175755226,0.6338983127744984,0.04077774712401518,4.5792179540880396,104.84618535521126
OpenADMET-LogD,ECFP4,legacy,1.0,0.46005001501297454,0.1663250472142566,0.5694279045597412,0.057874210937527704,2.873906089083376,41.29668104435253
OpenADMET-LogD,ECFP4,outlier,0.0,0.5853159435435943,0.1421382621244209,0.4498197180033402,0.08555795138080523,1.6613097886342025,13.799751069059093
OpenADMET-LogD,ECFP4,outlier,0.1,0.5800073990056426,0.1449841360598916,0.44434456798792,0.07847380835563902,1.8475481067878265,17.067170034476412
OpenADMET-LogD,ECFP4,outlier,0.2,0.5914242635195917,0.12057667203478706,0.38642336295127394,0.06948819329390875,1.7352109231678163,15.054784739404525
OpenADMET-LogD,ECFP4,outlier,0.3,0.5695858921174053,0.15049752235246341,0.46093921415108197,0.058761302226598595,2.5611672418713,32.79788820417322
OpenADMET-LogD,ECFP4,outlier,0.4,0.5644179486979168,0.1540315022481795,0.5008457319312286,0.06828927770930793,2.255573750594594,25.438064721856826
OpenADMET-LogD,ECFP4,outlier,0.5,0.5570506256806629,0.1561881688967371,0.48591051144727027,0.0569301437815231,2.743505610948915,37.63411518654089
OpenADMET-LogD,ECFP4,outlier,0.6,0.5419266315125237,0.1786242479200903,0.6253512311625193,0.05142519015979583,3.473477635474814,60.325234420718516
OpenADMET-LogD,ECFP4,outlier,0.7,0.5349198437671953,0.18157649963527495,0.6009100048922988,0.04986231066934624,3.6415580665599276,66.30472576063839
OpenADMET-LogD,ECFP4,outlier,0.8,0.52382547655111,0.16457705468578196,0.5357361881665685,0.05494275743151829,2.9954276483286075,44.86293398185727
OpenADMET-LogD,ECFP4,outlier,0.9,0.5166984330982514,0.1736198821288191,0.5507052550931193,0.06761138079532891,2.5679091313694045,32.97078653485184
OpenADMET-LogD,ECFP4,outlier,1.0,0.49337640256682425,0.1937401740752265,0.6640873890566646,0.052818494942086215,3.668036627845159,67.27246351606843
OpenADMET-LogD,ECFP4,quantile,0.0,0.5679595451140526,0.16880146629207468,0.5624868771028765,0.0682089035810319,2.4747717296399467,30.62247556912547
OpenADMET-LogD,ECFP4,quantile,0.1,0.5902328871778448,0.13171661667643414,0.40464061957749947,0.07385463140328123,1.783457776089885,15.903608195477394
OpenADMET-LogD,ECFP4,quantile,0.2,0.5779960775317041,0.1377989492741171,0.44515068891516296,0.08219926535065523,1.6764012267783444,14.051605365719691
OpenADMET-LogD,ECFP4,quantile,0.3,0.5537774320215487,0.1596608480206039,0.5188661760869722,0.05670681395908817,2.815549611653252,39.636598078403885
OpenADMET-LogD,ECFP4,quantile,0.4,0.5562375580812888,0.15539238283454748,0.5038150400965447,0.0864579044445677,1.7973184040584393,16.15176722783588
OpenADMET-LogD,ECFP4,quantile,0.5,0.5335027932570463,0.16320648819408093,0.5392194833780228,0.07117685997427287,2.2929711742421977,26.288584029528213
OpenADMET-LogD,ECFP4,quantile,0.6,0.5289881379398281,0.15592403858288534,0.5187847365572968,0.06511437063952773,2.3946179169277193,28.67097484035625
OpenADMET-LogD,ECFP4,quantile,0.7,0.5057006317657142,0.18318981647737426,0.6159690109310519,0.058227031893762264,3.146130079438224,49.490672383729816
OpenADMET-LogD,ECFP4,quantile,0.8,0.4922094324193804,0.17282068026488745,0.5920464201960661,0.06155986300531765,2.8073597280416123,39.40634321314937
OpenADMET-LogD,ECFP4,quantile,0.9,0.4827391813648198,0.16025811388351752,0.5269629874208263,0.06194974565291502,2.586905114693988,33.460390362149575
OpenADMET-LogD,ECFP4,quantile,1.0,0.45985088339137686,0.17020982442753757,0.5647848369480735,0.0671437838601455,2.5350049497071754,32.131250475199394
OpenADMET-LogD,ECFP4,threshold,0.0,0.5948718295846427,0.12931482435076283,0.3859105694325191,0.07417613950843294,1.7433479985307307,15.196311219905525
OpenADMET-LogD,ECFP4,threshold,0.1,0.5723189718263232,0.1468969745539895,0.4503709623807609,0.06127220353513681,2.3974488606363047,28.73880519683158
OpenADMET-LogD,ECFP4,threshold,0.2,0.5415871980500391,0.16999762375005403,0.5640967198915772,0.08565724668873528,1.9846262904970338,19.69370756466008
OpenADMET-LogD,ECFP4,threshold,0.3,0.5297819600304913,0.16389827220599246,0.534832072570949,0.0665334955572993,2.463394878521626,30.341571637632885
OpenADMET-LogD,ECFP4,threshold,0.4,0.4959546217504169,0.187641428371399,0.670375368862091,0.05550469348984107,3.3806407453766534,57.143659246504065
OpenADMET-LogD,ECFP4,threshold,0.5,0.4620320168362253,0.1829703132641587,0.6369887455284163,0.048485426325748766,3.7737177360239094,71.20472775590711
OpenADMET-LogD,ECFP4,threshold,0.6,0.43737782660077024,0.17132705565236228,0.5892154010665605,0.05392413468789285,3.1771869246300386,50.472583770200416
OpenADMET-LogD,ECFP4,threshold,0.7,0.39766356190314445,0.17932248633545292,0.5828281738642807,0.05530247346484717,3.2425762375608507,52.57150328197141
OpenADMET-LogD,ECFP4,threshold,0.8,0.3681388466653908,0.1735084845169202,0.5329879680212676,0.05929175420217435,2.926351005323389,42.81765103178605
OpenADMET-LogD,ECFP4,threshold,0.9,0.33591733082124897,0.17348202458399375,0.5137129515912231,0.058118366308307384,2.9849776517065725,44.550457905938416
OpenADMET-LogD,ECFP4,threshold,1.0,0.28754175720444086,0.17759699408344654,0.4927621785687101,0.06816553106010319,2.605378280216947,33.93997991513108
OpenADMET-LogD,ECFP4,valprop,0.0,0.5771711238336069,0.1648388995557319,0.5414217310700378,0.08050727325034765,2.0475031994083848,20.96134675793786
OpenADMET-LogD,ECFP4,valprop,0.1,0.567616965726108,0.14424610097810456,0.45604728263840866,0.07753093717623372,1.8604973218654923,17.30725142334334
OpenADMET-LogD,ECFP4,valprop,0.2,0.5388143286714119,0.17602658839169824,0.6034228586461752,0.06427604819207597,2.7386031553414485,37.49973621223069
OpenADMET-LogD,ECFP4,valprop,0.3,0.5214928726269904,0.1676143617905862,0.5618174572411897,0.06251419247879796,2.681220937908357,35.94472858939084
OpenADMET-LogD,ECFP4,valprop,0.4,0.5228114516742719,0.17830546905230782,0.6040718220484219,0.053110499822224023,3.357254585235444,56.355791750422064
OpenADMET-LogD,ECFP4,valprop,0.5,0.49950024358053324,0.16711143582869106,0.5490680418671623,0.06062982418109431,2.75625796521442,37.984789854039676
OpenADMET-LogD,ECFP4,valprop,0.6,0.4852563693662228,0.1672576205622295,0.578914293205987,0.06709350285584398,2.492903387703524,31.07283650211853
OpenADMET-LogD,ECFP4,valprop,0.7,0.4653612252609493,0.17990829540073308,0.641334156222479,0.04289594853545206,4.194062645614304,87.95080737668626
OpenADMET-LogD,ECFP4,valprop,0.8,0.4528020163702251,0.17616827930805212,0.6073025034625978,0.04033531675667377,4.3675937980307005,95.37937792298116
OpenADMET-LogD,ECFP4,valprop,0.9,0.4365715158103381,0.16548566314292498,0.5324736908397891,0.06461476929197678,2.561112032995734,32.796474227777715
OpenADMET-LogD,ECFP4,valprop,1.0,0.41369009612022317,0.17859237603568903,0.6039460864725811,0.04545922272275595,3.928628017352557,77.17059049363742
OpenADMET-LogD,MHG-GNN-pretrained,hetero,0.0,-0.22453795327876397,1.924909329124015,6.744020733053414,3.1910645764733716,0.6032185444681105,1.8193630619511294
OpenADMET-LogD,MHG-GNN-pretrained,hetero,0.1,-0.6381188031343465,2.8559001224712426,9.34457775116106,3.514126526876078,0.8126913190601668,3.3023359003787687
OpenADMET-LogD,MHG-GNN-pretrained,hetero,0.2,-0.4640287090936414,2.278684703857881,7.785371265571434,3.3443263609127056,0.6813583538049204,2.321246031498755
OpenADMET-LogD,MHG-GNN-pretrained,hetero,0.3,-0.13962301337957497,1.2404432205293496,3.840087772798176,1.995196361239662,0.621714857057294,1.9326468174288578
OpenADMET-LogD,MHG-GNN-pretrained,hetero,0.4,-0.8955037982197852,2.586676792437951,8.352467639528559,4.463088114703025,0.5795710785804347,1.679513175634442
OpenADMET-LogD,MHG-GNN-pretrained,hetero,0.5,-1.1933170427872848,3.2372296505952667,9.033767546774495,2.3583164836580077,1.372686691132298,9.421343760058685
OpenADMET-LogD,MHG-GNN-pretrained,hetero,0.6,-1.3586611082189042,5.181534888674632,18.43306174384194,9.787574673679698,0.5293992701387588,1.4013179361172523
OpenADMET-LogD,MHG-GNN-pretrained,hetero,0.7,-0.8916430726147379,2.6962389429040585,8.476347903595627,3.1049929541567396,0.8683558973280533,3.7702098221220424
OpenADMET-LogD,MHG-GNN-pretrained,hetero,0.8,-0.3042376859156134,1.5492918643604634,4.015044027259761,2.2421388441870023,0.6909883695994908,2.3873246346088117
OpenADMET-LogD,MHG-GNN-pretrained,hetero,0.9,-1.7078742366469875,3.9201264152318935,12.49494318971135,4.0684067122770715,0.96355322672197,4.642174103631601
OpenADMET-LogD,MHG-GNN-pretrained,hetero,1.0,-2.647395806925601,5.886406765044114,18.964516076213872,7.6540640848704875,0.7690563731599219,2.957238525489466
OpenADMET-LogD,MHG-GNN-pretrained,legacy,0.0,-0.38865269189554036,1.8230518867306709,6.139896152650804,2.6516987002231667,0.6875034054876759,2.3633046627857586
OpenADMET-LogD,MHG-GNN-pretrained,legacy,0.1,-0.5337009630742905,2.0268049276629014,5.700237988481442,2.5079859667986333,0.8081404579189314,3.2654549986271006
