dataset,rep,strategy,sigma,rho_vs_clean,snr_drop,mean_drop
ChEMBL-hERG-Ki,PDV,outlier,1.0,0.7362637362637362,0.4836299666486114,0.18637940588853327
ChEMBL-hERG-Ki,PDV,quantile,0.0,1.0,,0.0
ChEMBL-hERG-Ki,PDV,quantile,0.1,0.8901098901098902,0.352547427284868,0.04224841198617898
ChEMBL-hERG-Ki,PDV,quantile,0.2,0.8956043956043955,0.6668128330541001,0.01251291553560328
ChEMBL-hERG-Ki,PDV,quantile,0.3,0.9065934065934067,0.5826258593376537,0.10234411293846758
ChEMBL-hERG-Ki,PDV,quantile,0.4,0.8571428571428571,0.506265032439233,0.07289916992029843
ChEMBL-hERG-Ki,PDV,quantile,0.5,0.8406593406593407,0.38579213906550947,0.05800271337860589
ChEMBL-hERG-Ki,PDV,quantile,0.6,0.9065934065934067,0.609384756699376,0.06206818370824518
ChEMBL-hERG-Ki,PDV,quantile,0.7,0.9230769230769231,0.4068484196723805,0.08219451824863376
ChEMBL-hERG-Ki,PDV,quantile,0.8,0.8956043956043955,0.3286621821463811,0.17314722022706347
ChEMBL-hERG-Ki,PDV,quantile,0.9,0.8241758241758241,0.6381954675960825,0.12369617432956002
ChEMBL-hERG-Ki,PDV,quantile,1.0,0.8186813186813187,0.6211463246497174,0.18999182885234706
ChEMBL-hERG-Ki,PDV,threshold,0.0,1.0,,0.0
ChEMBL-hERG-Ki,PDV,threshold,0.1,0.8571428571428571,0.3240618256211896,-0.024599287106583663
ChEMBL-hERG-Ki,PDV,threshold,0.2,0.8901098901098902,0.43947318442606154,-0.04496418800251077
ChEMBL-hERG-Ki,PDV,threshold,0.3,0.8956043956043955,0.2902162118602189,0.07119928344937064
ChEMBL-hERG-Ki,PDV,threshold,0.4,0.8791208791208791,0.26922055174631854,0.05182134937464647
ChEMBL-hERG-Ki,PDV,threshold,0.5,0.8736263736263737,0.35039490102085746,0.09906281877517689
ChEMBL-hERG-Ki,PDV,threshold,0.6,0.8461538461538461,0.509965836954831,0.09444707198109417
ChEMBL-hERG-Ki,PDV,threshold,0.7,0.8021978021978022,0.6230011139071571,0.2223603500964133
ChEMBL-hERG-Ki,PDV,threshold,0.8,0.7857142857142857,0.6923330246934037,0.3389867290761068
ChEMBL-hERG-Ki,PDV,threshold,0.9,0.38461538461538464,1.0053108786198284,0.36286834364967174
ChEMBL-hERG-Ki,PDV,threshold,1.0,0.5384615384615384,1.0627067992733756,0.37800477346103306
ChEMBL-hERG-Ki,PDV,valprop,0.0,1.0,,0.0
ChEMBL-hERG-Ki,PDV,valprop,0.1,0.901098901098901,0.4045621002966781,0.01674784408652126
ChEMBL-hERG-Ki,PDV,valprop,0.2,0.8681318681318682,0.4487162210860342,0.04014459067553767
ChEMBL-hERG-Ki,PDV,valprop,0.3,0.8241758241758241,0.39106059126446985,0.10883213953982973
ChEMBL-hERG-Ki,PDV,valprop,0.4,0.9120879120879121,0.44085926586165647,0.1250700962224456
ChEMBL-hERG-Ki,PDV,valprop,0.5,0.8406593406593407,0.3378779197636538,0.12334797957160024
ChEMBL-hERG-Ki,PDV,valprop,0.6,0.8296703296703297,0.5240161133178588,0.128239006899438
ChEMBL-hERG-Ki,PDV,valprop,0.7,0.8516483516483516,0.5258214614967615,0.17748526841467596
ChEMBL-hERG-Ki,PDV,valprop,0.8,0.8296703296703297,0.5489713299579105,0.21785525077829263
ChEMBL-hERG-Ki,PDV,valprop,0.9,0.7857142857142857,0.7283125062691014,0.2815685559916349
ChEMBL-hERG-Ki,PDV,valprop,1.0,0.7692307692307693,1.0337418750750234,0.23653491767087037
ChEMBL-hERG-Ki,SNS,hetero,0.0,1.0,,0.0
ChEMBL-hERG-Ki,SNS,hetero,0.1,0.965034965034965,0.23071983688045614,-0.004516028123709025
ChEMBL-hERG-Ki,SNS,hetero,0.2,0.9580419580419581,0.3250656060014491,0.00378190133511194
ChEMBL-hERG-Ki,SNS,hetero,0.3,0.9230769230769231,0.3968413196284849,-0.001512574389566098
ChEMBL-hERG-Ki,SNS,hetero,0.4,0.8461538461538463,0.6340486630013299,0.003476269433384185
ChEMBL-hERG-Ki,SNS,hetero,0.5,0.965034965034965,0.4887052214986112,0.026959503834540665
ChEMBL-hERG-Ki,SNS,hetero,0.6,0.9090909090909092,0.4394427091144105,0.030557188894066573
ChEMBL-hERG-Ki,SNS,hetero,0.7,0.6433566433566434,0.5688265140011293,0.029073217148064313
ChEMBL-hERG-Ki,SNS,hetero,0.8,0.7412587412587414,0.5441649680384737,0.05923147613565057
ChEMBL-hERG-Ki,SNS,hetero,0.9,0.6433566433566434,0.9819047953256541,0.07176239540189942
ChEMBL-hERG-Ki,SNS,hetero,1.0,0.5174825174825175,0.6867271618319689,0.06134755136473139
ChEMBL-hERG-Ki,SNS,legacy,0.0,1.0,,0.0
ChEMBL-hERG-Ki,SNS,legacy,0.1,0.9510489510489512,0.5775013232529695,-0.003835517936466226
ChEMBL-hERG-Ki,SNS,legacy,0.2,0.9160839160839163,0.6416294851713619,0.006718279233562419
ChEMBL-hERG-Ki,SNS,legacy,0.3,0.9510489510489512,0.37503803321876117,0.02365939468138464
ChEMBL-hERG-Ki,SNS,legacy,0.4,0.9160839160839163,0.5552946199341503,0.040063254362470775
ChEMBL-hERG-Ki,SNS,legacy,0.5,0.7342657342657343,0.49068808747532117,0.052367067894266324
ChEMBL-hERG-Ki,SNS,legacy,0.6,0.6083916083916086,0.8131240093167269,0.08690616053014581
ChEMBL-hERG-Ki,SNS,legacy,0.7,0.4265734265734266,0.9096759744013488,0.09999756237648096
ChEMBL-hERG-Ki,SNS,legacy,0.8,0.23076923076923078,0.7741932076208761,0.15935530607469908
ChEMBL-hERG-Ki,SNS,legacy,0.9,0.0979020979020979,1.5500310265026205,0.16733188424118192
ChEMBL-hERG-Ki,SNS,legacy,1.0,-0.08391608391608392,1.3718222194725695,0.19111366639068164
ChEMBL-hERG-Ki,SNS,outlier,0.0,1.0,,0.0
ChEMBL-hERG-Ki,SNS,outlier,0.1,0.9790209790209792,0.09509096860798553,-0.005075750757197216
ChEMBL-hERG-Ki,SNS,outlier,0.2,0.9440559440559443,0.2577336335646739,-0.001630238607033769
ChEMBL-hERG-Ki,SNS,outlier,0.3,0.9020979020979022,0.2056955057570112,-0.006980838457218713
ChEMBL-hERG-Ki,SNS,outlier,0.4,0.9300699300699302,0.19674173437716605,0.0025906659701956155
ChEMBL-hERG-Ki,SNS,outlier,0.5,0.8601398601398602,0.3021465731390053,0.009833314031270435
ChEMBL-hERG-Ki,SNS,outlier,0.6,0.8811188811188813,0.524039144374897,0.0369755230341062
ChEMBL-hERG-Ki,SNS,outlier,0.7,0.7482517482517484,0.509663466418452,0.03994400155020502
ChEMBL-hERG-Ki,SNS,outlier,0.8,0.5664335664335665,0.5639440686846348,0.06830641080201952
ChEMBL-hERG-Ki,SNS,outlier,0.9,0.4125874125874127,0.5058760663389015,0.13155171357950382
ChEMBL-hERG-Ki,SNS,outlier,1.0,0.4265734265734266,1.0533506111635331,0.14841928947157398
ChEMBL-hERG-Ki,SNS,quantile,0.0,1.0,,0.0
ChEMBL-hERG-Ki,SNS,quantile,0.1,0.9440559440559443,0.27647097076927146,-0.0011218469665810796
ChEMBL-hERG-Ki,SNS,quantile,0.2,0.9720279720279721,0.25999286029565344,0.008186971974353086
ChEMBL-hERG-Ki,SNS,quantile,0.3,0.9720279720279721,0.2513003643152279,0.016219447208850126
ChEMBL-hERG-Ki,SNS,quantile,0.4,0.7902097902097903,0.567858069551539,0.018335022675686253
ChEMBL-hERG-Ki,SNS,quantile,0.5,0.8181818181818183,0.5165541259091851,0.047011914328169147
ChEMBL-hERG-Ki,SNS,quantile,0.6,0.5734265734265735,0.8268009498447458,0.06473208142315556
ChEMBL-hERG-Ki,SNS,quantile,0.7,0.6573426573426573,0.6253120340879533,0.1123613682099759
