dataset,rep,strategy,model,fold,clean,r2_06,ret_06,auc_norm
OpenADMET-LogD,ECFP4,valprop,LightGBM,4,0.7476278538527831,0.7067243543178933,0.9452889571675266,0.9368222760162351
OpenADMET-LogD,ECFP4,valprop,MLP,0,0.709090492772583,0.4990479065003846,0.7037859223708948,0.794721853098608
OpenADMET-LogD,ECFP4,valprop,MLP,1,0.6738130308278727,0.5577095253705056,0.8276918074518121,0.8255625119790662
OpenADMET-LogD,ECFP4,valprop,MLP,2,0.7035127639416372,0.5393713337215124,0.7666830814831643,0.8180642286309356
OpenADMET-LogD,ECFP4,valprop,MLP,3,0.6806818280822167,0.5616211217620566,0.8250861101204846,0.8989132461347636
OpenADMET-LogD,ECFP4,valprop,MLP,4,0.6899098435843009,0.618305372311388,0.8962118428389065,0.8737147304576853
OpenADMET-LogD,ECFP4,valprop,MLP-BNN-Full,0,0.5680224218665944,0.4294988153615529,0.7561300378780205,0.8380644714753687
OpenADMET-LogD,ECFP4,valprop,MLP-BNN-Full,1,0.5655468892220421,0.4876806096712921,0.86231684580944,0.8066461472415009
OpenADMET-LogD,ECFP4,valprop,MLP-BNN-Full,2,0.4800057275717415,0.3981334197892872,0.8294347273799609,0.9816443263349081
OpenADMET-LogD,ECFP4,valprop,MLP-BNN-Full,3,0.6033985532670546,0.5606662992011661,0.9291807150770944,0.8627075820744478
OpenADMET-LogD,ECFP4,valprop,MLP-BNN-Full,4,0.6089707400109473,0.5409565873733715,0.8883129382598035,0.874238147588488
OpenADMET-LogD,ECFP4,valprop,MLP-VBLL-Full,0,0.5700739381512245,0.5028306759117025,0.882044665192738,0.9165136477140582
OpenADMET-LogD,ECFP4,valprop,MLP-VBLL-Full,1,0.5988833662825273,0.4927407843765577,0.8227658541180853,0.856477983994458
OpenADMET-LogD,ECFP4,valprop,MLP-VBLL-Full,2,0.6227961284120658,0.5388787687017942,0.8652570947667345,0.8648246970702392
OpenADMET-LogD,ECFP4,valprop,MLP-VBLL-Full,3,0.59571093275636,0.5518501688098562,0.9263724039047602,0.9357879374468743
OpenADMET-LogD,ECFP4,valprop,MLP-VBLL-Full,4,0.6461553331216782,0.5058987199624072,0.7829366934392243,0.8668585056577385
OpenADMET-LogD,ECFP4,valprop,NGBoost,0,0.6023786027285452,0.588997316646023,0.9777859206454046,0.9743559252224551
OpenADMET-LogD,ECFP4,valprop,NGBoost,1,0.5118237467116532,0.4986429924743413,0.9742474742096373,0.9892752628618349
OpenADMET-LogD,ECFP4,valprop,NGBoost,2,0.5396061013153282,0.528544476769124,0.9795005569447034,0.9846776861677069
OpenADMET-LogD,ECFP4,valprop,NGBoost,3,0.5122567271877222,0.5118908336936441,0.9992857224226476,0.9856809073446477
OpenADMET-LogD,ECFP4,valprop,NGBoost,4,0.5792310238470957,0.5564468497121307,0.9606647897005952,0.9762089266805609
OpenADMET-LogD,ECFP4,valprop,QRF,0,0.6851588628536498,0.5986990747651604,0.8738105966718593,0.8826456513258368
OpenADMET-LogD,ECFP4,valprop,QRF,1,0.5675359621344831,0.4333123023792984,0.7634975248962653,0.7788033734828437
OpenADMET-LogD,ECFP4,valprop,QRF,2,0.6239160200940541,0.4936673607668047,0.7912400785804239,0.8720049997286374
OpenADMET-LogD,ECFP4,valprop,QRF,3,0.6274055181824902,0.5148307038551722,0.8205708890584319,0.8448135577271221
OpenADMET-LogD,ECFP4,valprop,QRF,4,0.644254231865145,0.5090127218861075,0.790080525218271,0.8136037083365827
OpenADMET-LogD,ECFP4,valprop,RF,0,0.6450010569181484,0.5703991238189883,0.8843382777454469,0.8986381777009826
OpenADMET-LogD,ECFP4,valprop,RF,1,0.6250881795436531,0.5582545439975444,0.8930812679982194,0.8915038505249918
OpenADMET-LogD,ECFP4,valprop,RF,2,0.6329998293261982,0.5574964829236861,0.880721379525675,0.8934735781423215
OpenADMET-LogD,ECFP4,valprop,RF,3,0.6952764220636528,0.6058004264676788,0.8713087446135453,0.9128155623840786
OpenADMET-LogD,ECFP4,valprop,RF,4,0.6806781751155915,0.5931925011789083,0.8714727794499559,0.8870596125393354
OpenADMET-LogD,ECFP4,valprop,SVM,0,0.6049326966070834,0.5448955203654744,0.9007539572941874,0.9083695952520716
OpenADMET-LogD,ECFP4,valprop,SVM,1,0.5284597569754139,0.4537545833190118,0.8586360216263776,0.8769943042674846
OpenADMET-LogD,ECFP4,valprop,SVM,2,0.5834512084201818,0.5025008005503602,0.8612559084606027,0.8814591999812211
OpenADMET-LogD,ECFP4,valprop,SVM,3,0.612468572401377,0.5417178171791225,0.8844826356643023,0.8913629206277973
OpenADMET-LogD,ECFP4,valprop,SVM,4,0.6405199099874692,0.5569086482841541,0.8694634461792907,0.8834510109870481
OpenADMET-LogD,ECFP4,valprop,VBLL-Full,0,0.293445748918507,0.1962429159961576,0.6687536511243048,0.6691072791531228
OpenADMET-LogD,ECFP4,valprop,VBLL-Full,1,0.3285340019457681,0.1595821563860143,0.4857401530461889,0.6545678956758711
OpenADMET-LogD,ECFP4,valprop,VBLL-Full,2,0.2666510582383588,0.2220201661977643,0.8326243580826181,0.8439336396473266
OpenADMET-LogD,ECFP4,valprop,VBLL-Full,3,0.3512683399195909,0.1867677892233911,0.5316954817679961,0.6056869755007439
OpenADMET-LogD,ECFP4,valprop,VBLL-Full,4,0.3855817900220528,0.22136001911854,0.5740935512174463,0.604455307152654
OpenADMET-LogD,ECFP4,valprop,XGBoost,0,0.7409112555399784,0.6502118667679897,0.8775840047052779,0.8850714195585877
