dataset,rep,strategy,sigma,W,meanSpear,snr_clip,mean_r2c
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy,0.1,0.8047552447552447,0.7559440559440561,1.320280034357429,0.24420755318352108
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy,0.2,0.7577622377622377,0.6972027972027973,0.9599130610286575,0.24894873447816623
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy,0.3,0.8142657342657342,0.7678321678321678,1.3100304059947412,0.20652679218170306
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy,0.4,0.8623776223776224,0.827972027972028,1.575337819894021,0.1145394690374272
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy,0.5,0.7678321678321678,0.7097902097902098,1.1915095967789706,0.15611626390201858
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy,0.6,0.8103496503496503,0.762937062937063,1.254746143722774,0.13645806878644196
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy,0.7,0.652027972027972,0.5650349650349652,0.8942280530670543,0.19673600537654476
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy,0.8,0.5272727272727272,0.40909090909090906,0.8562756896637165,0.14478081246134075
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy,0.9,0.773986013986014,0.7174825174825176,1.4186451542269203,0.011294544303614743
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy,1.0,0.6883916083916084,0.6104895104895105,0.9206239322952144,0.020682953784985993
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier,0.0,0.7711888111888112,0.713986013986014,0.9006368168572119,0.19638034093293097
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier,0.1,0.7527272727272727,0.690909090909091,1.2064755529329623,0.24276785925616284
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier,0.2,0.740979020979021,0.6762237762237763,1.1319999438210164,0.2140174535254777
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier,0.3,0.8355244755244755,0.7944055944055943,1.0105457961901971,0.28541864951224366
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier,0.4,0.7862937062937063,0.7328671328671329,1.4809373982740937,0.23599759082180563
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier,0.5,0.7572027972027972,0.6965034965034966,1.8831856075376028,0.14296402377512288
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier,0.6,0.7751048951048951,0.718881118881119,2.066315757101938,0.20199172756228748
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier,0.7,0.7795804195804196,0.7244755244755245,1.0660801321349695,0.1331509612162845
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier,0.8,0.7029370629370629,0.6286713286713287,1.1257583108457567,0.11073845862839758
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier,0.9,0.6967832167832168,0.6209790209790211,1.1880660880114327,0.13272266950982675
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier,1.0,0.666013986013986,0.5825174825174827,1.007838919206278,0.08898474406280939
ChEMBL-hERG-Ki,MHG-GNN-pretrained,quantile,0.0,0.7885314685314685,0.7356643356643356,0.8918319188354888,0.2853108095292564
ChEMBL-hERG-Ki,MHG-GNN-pretrained,quantile,0.1,0.8344055944055944,0.7930069930069932,1.0330532776941441,0.2644517286250067
ChEMBL-hERG-Ki,MHG-GNN-pretrained,quantile,0.2,0.8321678321678322,0.7902097902097903,1.5685221094278166,0.22221296225064277
ChEMBL-hERG-Ki,MHG-GNN-pretrained,quantile,0.3,0.6906293706293706,0.6132867132867135,0.9109797434947748,0.24444837121339463
ChEMBL-hERG-Ki,MHG-GNN-pretrained,quantile,0.4,0.7544055944055944,0.6930069930069931,1.4492681127957776,0.15201391549741416
ChEMBL-hERG-Ki,MHG-GNN-pretrained,quantile,0.5,0.754965034965035,0.6937062937062939,1.4187328877645928,0.18206208936800425
ChEMBL-hERG-Ki,MHG-GNN-pretrained,quantile,0.6,0.7247552447552448,0.655944055944056,1.0718959090184133,0.2072673036391822
ChEMBL-hERG-Ki,MHG-GNN-pretrained,quantile,0.7,0.5636363636363636,0.4545454545454546,0.8071475744139732,0.17477898663978159
ChEMBL-hERG-Ki,MHG-GNN-pretrained,quantile,0.8,0.66993006993007,0.5874125874125875,1.0869662834858613,0.13894908085737698
ChEMBL-hERG-Ki,MHG-GNN-pretrained,quantile,0.9,0.8131468531468532,0.7664335664335666,1.8564623411149257,0.11186355618307585
ChEMBL-hERG-Ki,MHG-GNN-pretrained,quantile,1.0,0.586013986013986,0.4825174825174826,0.9623523083538122,0.06539072648468049
ChEMBL-hERG-Ki,MHG-GNN-pretrained,threshold,0.0,0.7281118881118881,0.6601398601398603,0.9850363998742397,0.24241802751164515
ChEMBL-hERG-Ki,MHG-GNN-pretrained,threshold,0.1,0.6783216783216783,0.597902097902098,0.8969574427189174,0.21566618747583835
ChEMBL-hERG-Ki,MHG-GNN-pretrained,threshold,0.2,0.7818181818181819,0.7272727272727273,1.0364621900471103,0.2386811367421539
ChEMBL-hERG-Ki,MHG-GNN-pretrained,threshold,0.3,0.8047552447552447,0.755944055944056,1.1903231216557457,0.15861926483701544
ChEMBL-hERG-Ki,MHG-GNN-pretrained,threshold,0.4,0.6598601398601398,0.5748251748251749,1.0581427488561426,0.10492113652847232
ChEMBL-hERG-Ki,MHG-GNN-pretrained,threshold,0.5,0.7493706293706294,0.6867132867132868,1.6236352774574956,0.00018669265539604288
ChEMBL-hERG-Ki,MHG-GNN-pretrained,threshold,0.6,0.6005594405594405,0.5006993006993008,0.8205310715775964,0.037987716118662467
ChEMBL-hERG-Ki,MHG-GNN-pretrained,threshold,0.7,0.5474125874125874,0.43426573426573434,0.8320002674850073,-0.02956317852571703
ChEMBL-hERG-Ki,MHG-GNN-pretrained,threshold,0.8,0.6223776223776224,0.527972027972028,0.9907960105528832,-0.17677259376176258
ChEMBL-hERG-Ki,MHG-GNN-pretrained,threshold,0.9,0.6654545454545454,0.5818181818181819,1.2699130900495148,-0.20559772045878966
ChEMBL-hERG-Ki,MHG-GNN-pretrained,threshold,1.0,0.7152447552447553,0.6440559440559442,1.1360162372817866,-0.2960843667280438
ChEMBL-hERG-Ki,MHG-GNN-pretrained,valprop,0.0,0.7560839160839161,0.6951048951048951,1.0659842104835837,0.2958821475739349
ChEMBL-hERG-Ki,MHG-GNN-pretrained,valprop,0.1,0.7639160839160839,0.7048951048951049,1.3423339811763286,0.1302488769482269
ChEMBL-hERG-Ki,MHG-GNN-pretrained,valprop,0.2,0.6352447552447552,0.544055944055944,0.8321143820087397,0.1821152202762299
ChEMBL-hERG-Ki,MHG-GNN-pretrained,valprop,0.3,0.6632167832167832,0.5790209790209792,0.8603008444613055,0.12123980309011961
ChEMBL-hERG-Ki,MHG-GNN-pretrained,valprop,0.4,0.6665734265734266,0.5832167832167832,1.085598883590002,0.021802658865035622
