model,rep,Heteroscedastic,Gaussian,Outlier,Quantile,Threshold,Value-Prop.,MEAN,STD
xgboost,pdv,0.9213112603804906,0.848687865365346,0.9537467894628351,0.8695942822336226,0.632667777207937,0.6920027949768541,0.8196684616045141,0.12877169588437842
lgb,sns,0.9201435249177607,0.8478324456710202,0.9539837281081411,0.8672516862578592,0.6340271617310831,0.6935311199289814,0.8194616111024744,0.12772334703689567
rf,morgan,0.9288506473436509,0.8431516271985076,0.9520660018755756,0.8655942207588645,0.6325344139215942,0.6903055484865664,0.8187504099307933,0.12950625541040273
lgb,ecfp4,0.9319369232863244,0.8454152717009291,0.9509355705898134,0.8627746228320896,0.6244466022412511,0.6921274112115556,0.8179394003103272,0.1316940824384388
rf,continuous_pdv,0.9205694390413892,0.8455319879645693,0.9548335023402059,0.8720071522874638,0.6264169046885002,0.6869563652929733,0.8177192252691836,0.13175334807670125
xgboost,smiles,0.9213469782929452,0.8457988178042721,0.9493379905949818,0.8644707766952209,0.6287036941262957,0.6937193443627407,0.8172296003127427,0.128170031397961
lgb,smiles,0.9215580109767586,0.8455315115676306,0.9558041965418667,0.8659852127338826,0.6266329875495685,0.6868601937301233,0.8170620188499716,0.13159675253075506
lgb,continuous_pdv,0.9193239562941796,0.845401266702507,0.9509689776935666,0.865315352667581,0.6296188621332732,0.689885888592379,0.8167523840139143,0.1287075790579336
xgboost,morgan,0.9202834490088055,0.8456985070045109,0.9525722661518269,0.8644755399167805,0.6284052548453847,0.6866703832053654,0.8163509000221123,0.13013539127574553
dnn_bnn_full,pdv,0.9229156756514144,0.8466965439078381,0.9433491662731823,0.8633845767597498,0.6302223049284518,0.6902880893799659,0.8161427261501005,0.12739942072582008
svm,ecfp4,0.9189188727373263,0.8418842752706519,0.953679362148293,0.8693546628176042,0.6229640724252784,0.6839813375077788,0.8151304304844889,0.13247782950498868
lgb,morgan,0.9189569281699606,0.8434847797060503,0.9520751085642923,0.8644135755044248,0.6243431330247461,0.6846688565178164,0.814657063581215,0.13128994986315579
rf,smiles,0.9187835252215953,0.842776298639235,0.9530347468869987,0.8695744053891052,0.6203093768864408,0.6829876598848874,0.8145776688180438,0.13334551093643932
rf,ecfp4,0.9140548834015345,0.8436372285207637,0.9508748478698261,0.8672843918815587,0.6262810739612281,0.6842413377026387,0.8143956272229249,0.1300292750986605
xgboost,continuous_pdv,0.9182359564321914,0.8438505253242973,0.9458828488927873,0.8642694519005685,0.6276595134834145,0.6864729829262012,0.8143952131599099,0.12857781452510358
xgboost,ecfp4,0.9229439470545362,0.8470458903871863,0.9467027223161859,0.8574284143871915,0.6208321729929837,0.6887652036838798,0.8139530584703273,0.13073209593326754
svm,mhggnn,0.9153336442833149,0.8381501041070359,0.9570393109026234,0.8704026772412321,0.6206773496952658,0.6805409002648571,0.8136906644157215,0.13392359444663451
