Strategy,Analysis,Type,Within,eta2,F,p,n
Threshold,Performance,Rep effect,dnn,50.21558452421583,10.843102775765141,3.624566239392253e-06,48
Threshold,Performance,Rep effect,dnn_bnn_full,99.67590318368102,3152.3852015482476,1.9949269346971208e-50,46
Threshold,Performance,Rep effect,dnn_vbll,97.9687238285107,373.78354569791753,9.539725610279457e-26,36
Threshold,Performance,Rep effect,lgb,82.17720840810601,51.87142484523326,2.7337757186554936e-16,50
Threshold,Performance,Rep effect,mlp,80.77553257541287,46.218750236646756,3.298173778311855e-15,49
Threshold,Performance,Rep effect,mlp_bnn_full,99.66168871664209,3093.150548034145,2.861963324316596e-51,47
Threshold,Performance,Rep effect,mlp_vbll,98.3288649602792,500.13633386683824,1.0953670308846918e-29,39
Threshold,Performance,Rep effect,ngboost,96.88673806106321,342.3271602503441,1.582497612479918e-32,49
Threshold,Performance,Rep effect,rf,92.78860245396453,141.5363139360869,1.6110726962791739e-24,49
Threshold,Performance,Rep effect,svm,64.78789429512692,20.699239543612705,9.841503504811586e-10,50
Threshold,Performance,Rep effect,xgboost,83.5398129699767,55.82791623166872,1.119156449404409e-16,49
Threshold,Robustness,Model effect,continuous_pdv,68.93580067344875,21.969483890216544,5.244311176975937e-21,110
Threshold,Robustness,Model effect,ecfp4,80.35961403232986,38.05141160315599,1.3827043175449571e-28,104
Threshold,Robustness,Model effect,mhggnn,70.90891543120743,25.187285737769912,6.482213679331325e-15,69
Threshold,Robustness,Model effect,mol2vec,35.4126114450277,5.3001354953979485,0.00020542262532953785,65
Threshold,Robustness,Model effect,smiles,93.86253778154516,151.23452885132636,5.619244378596517e-50,99
Threshold,Robustness,Rep effect,dnn,49.03251967059575,9.62035387146807,1.5119885260012077e-05,45
Threshold,Robustness,Rep effect,dnn_bnn_full,16.32941572288042,2.634702675539594,0.09010166635950982,30
Threshold,Robustness,Rep effect,dnn_vbll,27.409736563498686,4.908737872775234,0.015538848859535177,29
Threshold,Robustness,Rep effect,lgb,3.4814345899672214,0.3877536066056972,0.8162086325198217,48
Threshold,Robustness,Rep effect,mlp,85.0310291878596,63.90546754140112,5.568076702186603e-18,50
Threshold,Robustness,Rep effect,mlp_bnn_full,32.816791826721605,6.594306847003932,0.004656075054277778,30
Threshold,Robustness,Rep effect,mlp_vbll,22.466138413480017,3.7668677065611136,0.036592188964690235,29
Threshold,Robustness,Rep effect,ngboost,0.8755867141013401,0.103054111419747,0.9577279525059115,39
Threshold,Robustness,Rep effect,rf,5.936747734098089,0.6784800291738216,0.6106305367909913,48
Threshold,Robustness,Rep effect,svm,18.754895867606884,2.5969882217980307,0.04876353103216619,50
Threshold,Robustness,Rep effect,xgboost,4.411500022612796,0.5076604430472368,0.7303100465124968,49
Value-Prop.,Performance,Model effect,continuous_pdv,74.44387917199413,27.6730907986213,5.901154557200266e-24,106
Value-Prop.,Performance,Model effect,ecfp4,61.2299186094559,14.371707238199082,6.204269043334919e-15,102
Value-Prop.,Performance,Model effect,mhggnn,98.82656125488964,749.554588029012,2.391252841669081e-81,100
Value-Prop.,Performance,Model effect,mol2vec,98.21496454334219,429.1661101636722,7.500283801791973e-64,89
Value-Prop.,Performance,Model effect,smiles,91.29051141005326,101.67278497840336,7.662180742094711e-47,108
Value-Prop.,Performance,Rep effect,dnn,64.21464123975532,17.047169929602337,4.3752390702369056e-08,43
Value-Prop.,Performance,Rep effect,dnn_bnn_full,99.72975130843167,3874.810207819502,2.5605691344640157e-53,47
Value-Prop.,Performance,Rep effect,dnn_vbll,97.39205855328534,317.42756293311834,2.0965482873748502e-26,39
Value-Prop.,Performance,Rep effect,lgb,86.27153762942228,69.12550643380658,2.1294700853092858e-18,49
Value-Prop.,Performance,Rep effect,mlp,72.16907395855675,26.57953267432307,6.476304483788719e-11,46
Value-Prop.,Performance,Rep effect,mlp_bnn_full,99.62111575461537,2826.528174257963,1.9431131191073107e-51,48
Value-Prop.,Performance,Rep effect,mlp_vbll,96.54614754292339,216.63711833567058,3.52263859970085e-22,36
Value-Prop.,Performance,Rep effect,ngboost,97.36252208756027,406.06510405711015,4.137949143080148e-34,49
Value-Prop.,Performance,Rep effect,rf,93.93259540121251,170.2966289111194,3.646088129805345e-26,49
Value-Prop.,Performance,Rep effect,svm,68.95857611877094,24.991894196106703,6.117630201776268e-11,50
Value-Prop.,Performance,Rep effect,xgboost,87.89974755258015,79.90719427383064,1.3482938111349943e-19,49
Value-Prop.,Robustness,Model effect,continuous_pdv,62.56281887302949,15.875842181547185,2.259840420180894e-16,106
Value-Prop.,Robustness,Model effect,ecfp4,74.83899050505333,25.579868664360397,9.828691292664965e-22,97
Value-Prop.,Robustness,Model effect,mhggnn,78.49779140358908,35.898402963628826,6.128357293953566e-18,66
Value-Prop.,Robustness,Model effect,mol2vec,51.802275354437164,10.210474031422118,1.1895886256337845e-07,64
Value-Prop.,Robustness,Model effect,smiles,92.78515081197843,124.3162678999439,9.27051207921513e-46,97
Value-Prop.,Robustness,Rep effect,dnn,70.78323485624333,21.198558496968964,5.9600194162542435e-09,40
Value-Prop.,Robustness,Rep effect,dnn_bnn_full,4.415541665372292,0.5543422111465992,0.581630806042502,27
Value-Prop.,Robustness,Rep effect,dnn_vbll,16.859622120482623,2.5348125890338546,0.09946033689714268,28
Value-Prop.,Robustness,Rep effect,lgb,0.8406446948363273,0.08265771544631645,0.9872617383841872,44
Value-Prop.,Robustness,Rep effect,mlp,74.33384910169082,31.133958535863517,3.398123261584852e-12,48
Value-Prop.,Robustness,Rep effect,mlp_bnn_full,14.586187264396266,2.134635312081689,0.13934819780978142,28
Value-Prop.,Robustness,Rep effect,mlp_vbll,25.754694699681508,4.5095246055163525,0.020830369155294865,29
Value-Prop.,Robustness,Rep effect,ngboost,0.6742411017065851,0.07919543000553546,0.9708657658410556,39
Value-Prop.,Robustness,Rep effect,rf,13.026099132493346,1.6474722764902243,0.1793864864510041,49
Value-Prop.,Robustness,Rep effect,svm,18.84156974932697,2.611776238466246,0.04778422428306918,50
Value-Prop.,Robustness,Rep effect,xgboost,4.689065213291847,0.5288737452391056,0.7150964331676569,48
Heteroscedastic,Performance,Model effect,continuous_pdv,80.29853550427136,38.719765601991796,3.400742088941982e-29,106
Heteroscedastic,Performance,Model effect,ecfp4,59.28423211022405,13.250063554333867,5.084480615220984e-14,102
Heteroscedastic,Performance,Model effect,mhggnn,99.2954792746794,1240.276100067108,3.8407503902547246e-90,99
Heteroscedastic,Performance,Model effect,mol2vec,99.4522133985001,1561.3544268611508,1.0052529980111042e-92,97
Heteroscedastic,Performance,Model effect,smiles,94.49392800065591,166.469145647849,1.9237389500417033e-56,108
Heteroscedastic,Performance,Rep effect,dnn,70.66820194935744,26.501962822081406,3.1635192386445615e-11,49
Heteroscedastic,Performance,Rep effect,dnn_bnn_full,99.86340577806718,7859.275428518262,5.799764485117629e-61,48
Heteroscedastic,Performance,Rep effect,dnn_vbll,98.87486102908298,834.8401433564654,1.8590030110182597e-36,43
Heteroscedastic,Performance,Rep effect,lgb,93.37174820089955,140.86934387974227,5.2708463044551433e-23,45
Heteroscedastic,Performance,Rep effect,mlp,66.42075417662939,21.26382203920194,9.877832391537217e-10,48
Heteroscedastic,Performance,Rep effect,mlp_bnn_full,99.82400230598974,5955.487258553342,3.142960991183225e-57,47
Heteroscedastic,Performance,Rep effect,mlp_vbll,99.37625280386752,1234.7405551565594,1.090348008916639e-33,36
Heteroscedastic,Performance,Rep effect,ngboost,98.3585881631052,659.1547870404961,1.2292535159163052e-38,49
Heteroscedastic,Performance,Rep effect,rf,96.52739125595912,298.81553969540863,9.154356042040527e-31,48
Heteroscedastic,Performance,Rep effect,svm,79.41447356687789,43.40004762714617,6.774484765438896e-15,50
Heteroscedastic,Performance,Rep effect,xgboost,93.21729504945617,151.17718565390408,4.202042597031444e-25,49
Heteroscedastic,Robustness,Model effect,continuous_pdv,35.569437779170016,5.465378880396274,2.0049478902459487e-06,110
Heteroscedastic,Robustness,Model effect,ecfp4,44.45169053487881,6.561925392434837,2.2351455638763283e-07,93
Heteroscedastic,Robustness,Model effect,mhggnn,24.95250160081377,3.3248945178810123,0.0068139405118299,67
Heteroscedastic,Robustness,Model effect,mol2vec,36.27446161495428,5.7871674229523435,8.094734168505773e-05,68
Heteroscedastic,Robustness,Model effect,smiles,71.65183903928785,24.71397564259001,1.5126875173664822e-20,98
Heteroscedastic,Robustness,Rep effect,dnn,14.229684240886451,1.5760930701022586,0.20046194321345898,43
Heteroscedastic,Robustness,Rep effect,dnn_bnn_full,18.68989244486004,2.6433830870305295,0.09261091151003203,26
Heteroscedastic,Robustness,Rep effect,dnn_vbll,6.943102942181026,1.0072535479149418,0.37853466374793676,30
Heteroscedastic,Robustness,Rep effect,lgb,2.304804046298787,0.2300199025350621,0.9198708201502749,44
Heteroscedastic,Robustness,Rep effect,mlp,40.147025649827924,7.210678005919502,0.00015525380850129188,48
Heteroscedastic,Robustness,Rep effect,mlp_bnn_full,14.7999453032567,2.17135208362468,0.13505119136065954,28
Heteroscedastic,Robustness,Rep effect,mlp_vbll,3.351604155333204,0.4681573418944322,0.6311430089139879,30
Heteroscedastic,Robustness,Rep effect,ngboost,2.7071080885864753,0.31534223862155475,0.8141628720993312,38
Heteroscedastic,Robustness,Rep effect,rf,5.6815734567247995,0.6626203416921378,0.6212925723795821,49
Heteroscedastic,Robustness,Rep effect,svm,12.337281306107226,1.5832775524377405,0.1951439911226405,50
Heteroscedastic,Robustness,Rep effect,xgboost,5.563973825235468,0.6628265511517903,0.6210782238240159,50
