dataset,model,rep,strategy,ratio,n,mad_matched,mad_nominal
OpenADMET-Caco2_Efflux,XGBoost,PDV,quantile,0.9058450742113295,11,0.058824533489794745,0.09447468936308544
OpenADMET-Caco2_Efflux,XGBoost,PDV,threshold,0.6143509722263227,11,0.044496739779161514,0.32940550712170963
OpenADMET-Caco2_Efflux,XGBoost,PDV,outlier,0.7642612944784348,11,0.13331754877627866,0.11548341060055424
OpenADMET-Caco2_Efflux,XGBoost,PDV,hetero,0.3427679929691543,11,0.02353326516778487,0.515746116023034
OpenADMET-Caco2_Efflux,XGBoost,SNS,valprop,1.0176820226376952,10,0.05671849941207337,0.07151329991673246
OpenADMET-Caco2_Efflux,XGBoost,SNS,quantile,0.9058450742113295,11,0.15822672312236521,0.10284554931195182
OpenADMET-Caco2_Efflux,XGBoost,SNS,threshold,0.6143509722263227,11,0.10652874889867253,0.2489963621186825
OpenADMET-Caco2_Efflux,XGBoost,SNS,outlier,0.7642612944784348,11,0.17377967613399467,0.1319120165317823
OpenADMET-Caco2_Efflux,XGBoost,SNS,hetero,0.3427679929691543,11,0.03335367258404112,0.4792150934244077
OpenADMET-LogD,BNN-Full,ECFP4,valprop,1.109924572240254,10,0.07522370134037296,0.10515236107673118
OpenADMET-LogD,BNN-Full,ECFP4,quantile,0.9224515426736883,11,0.08547937592416807,0.08993239196655657
OpenADMET-LogD,BNN-Full,ECFP4,threshold,1.8483576164125888,6,0.04821655357673507,0.14401177239648844
OpenADMET-LogD,BNN-Full,ECFP4,outlier,0.6739710318523683,11,0.09635059017442932,0.09328290703123665
OpenADMET-LogD,BNN-Full,ECFP4,hetero,0.4567502141071441,11,0.07833178607200063,0.11179033746457141
OpenADMET-LogD,BNN-Full,PDV,valprop,1.109924572240254,10,0.02079472052647522,0.030626794272052938
OpenADMET-LogD,BNN-Full,PDV,quantile,0.9224515426736883,11,0.016682765145241828,0.01961946543089946
OpenADMET-LogD,BNN-Full,PDV,threshold,1.8483576164125888,6,0.016103103286649195,0.029662863185724492
OpenADMET-LogD,BNN-Full,PDV,outlier,0.6739710318523683,11,0.018641158974595506,0.028043301717697977
OpenADMET-LogD,BNN-Full,PDV,hetero,0.4567502141071441,11,0.016926779044520144,0.028719762311195975
OpenADMET-LogD,BNN-Full,SNS,valprop,1.109924572240254,10,0.062088739850572505,0.07587073287581074
OpenADMET-LogD,BNN-Full,SNS,quantile,0.9224515426736883,11,0.0723550908538441,0.05631301778789592
OpenADMET-LogD,BNN-Full,SNS,threshold,1.8483576164125888,6,0.07612223897951907,0.11139688553699449
OpenADMET-LogD,BNN-Full,SNS,outlier,0.6739710318523683,11,0.05137860509386922,0.05293774773539638
OpenADMET-LogD,BNN-Full,SNS,hetero,0.4567502141071441,11,0.03551482799097266,0.0767559534247272
OpenADMET-LogD,DNN,ECFP4,valprop,1.109924572240254,10,0.030651577234869574,0.03921747000511614
OpenADMET-LogD,DNN,ECFP4,quantile,0.9224515426736883,11,0.009077294733731695,0.012202618634837887
OpenADMET-LogD,DNN,ECFP4,threshold,1.8483576164125888,6,0.00534969825434924,0.03719363571760809
OpenADMET-LogD,DNN,ECFP4,outlier,0.6739710318523683,11,0.010464751807852042,0.0313185900329366
OpenADMET-LogD,DNN,ECFP4,hetero,0.4567502141071441,11,0.004662835760521834,0.04909566745183234
OpenADMET-LogD,DNN,PDV,valprop,1.109924572240254,10,0.016505515929493276,0.021334734369503096
OpenADMET-LogD,DNN,PDV,quantile,0.9224515426736883,11,0.0076587166437684625,0.0071293497105700794
OpenADMET-LogD,DNN,PDV,threshold,1.8483576164125888,6,0.00840678196207247,0.02367678673918881
OpenADMET-LogD,DNN,PDV,outlier,0.6739710318523683,11,0.009350772419066698,0.014535801584228706
OpenADMET-LogD,DNN,PDV,hetero,0.4567502141071441,11,0.007262344870658375,0.030335808798294703
OpenADMET-LogD,DNN,SNS,valprop,1.109924572240254,10,0.020677397780937735,0.030595593333788418
OpenADMET-LogD,DNN,SNS,quantile,0.9224515426736883,11,0.005785896292579559,0.006823204217061487
OpenADMET-LogD,DNN,SNS,threshold,1.8483576164125888,6,0.0048700601971368345,0.03523876361749497
OpenADMET-LogD,DNN,SNS,outlier,0.6739710318523683,11,0.006590715576663414,0.031048142076425377
OpenADMET-LogD,DNN,SNS,hetero,0.4567502141071441,11,0.007788418551036413,0.04864776239843857
OpenADMET-LogD,GP,PDV,valprop,1.109924572240254,10,0.012780650530855153,0.017874066861017345
OpenADMET-LogD,GP,PDV,quantile,0.9224515426736883,11,0.0037980230529765764,0.002530714364984522
OpenADMET-LogD,GP,PDV,threshold,1.8483576164125888,6,0.0024210577575358716,0.01832997087503165
OpenADMET-LogD,GP,PDV,outlier,0.6739710318523683,11,0.003502809626328712,0.012285367044058944
OpenADMET-LogD,GP,PDV,hetero,0.4567502141071441,11,0.0017173484374231154,0.023631867572591825
OpenADMET-LogD,LightGBM,ECFP4,valprop,1.109924572240254,10,0.015669640696740685,0.021207733358732727
OpenADMET-LogD,LightGBM,ECFP4,quantile,0.9224515426736883,11,0.003770438968807375,0.005101536679787592
OpenADMET-LogD,LightGBM,ECFP4,threshold,1.8483576164125888,6,0.007699181692054376,0.01807627649845182
OpenADMET-LogD,LightGBM,ECFP4,outlier,0.6739710318523683,11,0.005735473178766215,0.015095132615160378
OpenADMET-LogD,LightGBM,ECFP4,hetero,0.4567502141071441,11,0.003949128963609428,0.02266877937662116
OpenADMET-LogD,LightGBM,MHG-GNN-pretrained,valprop,1.109924572240254,10,0.018117611420191283,0.025835593899627984
OpenADMET-LogD,LightGBM,MHG-GNN-pretrained,quantile,0.9224515426736883,11,0.004004238974944053,0.0044914827559980885
OpenADMET-LogD,LightGBM,MHG-GNN-pretrained,threshold,1.8483576164125888,6,0.004083174076186857,0.026627451310208383
OpenADMET-LogD,LightGBM,MHG-GNN-pretrained,outlier,0.6739710318523683,11,0.007504254475396549,0.016599292645976028
