model,rep,strategy,nds_mean,nds_std,baseline_r2,n_iterations,in_anova
lgb,sns,threshold,-0.6724796702896766,,0.8361354389653963,1,False
lgb,sns,valprop,-0.5947633249144448,,0.835270388559179,1,False
mlp,continuous_pdv,hetero,-0.2626945887551163,,0.8581741333007813,1,True
mlp,continuous_pdv,legacy,-0.48746727542443724,,0.8581741333007813,1,True
mlp,continuous_pdv,outlier,-0.16504490483890885,,0.8581741333007813,1,True
mlp,continuous_pdv,quantile,-0.42261123855908717,,0.8581741333007813,1,True
mlp,continuous_pdv,threshold,-0.8789227333935825,,0.8581741333007813,1,True
mlp,continuous_pdv,valprop,-0.786398104968525,,0.8607964068651199,1,True
mlp,ecfp4,hetero,-0.2605673943354626,,0.7976351454854012,1,True
mlp,ecfp4,legacy,-0.46432413892312485,,0.7906921744346619,1,True
mlp,ecfp4,outlier,-0.13383739590644841,,0.7997495591640472,1,True
mlp,ecfp4,quantile,-0.3879944499092872,,0.7930506732728746,1,True
mlp,ecfp4,threshold,-0.9183117097074337,,0.7891522943973541,1,True
mlp,ecfp4,valprop,-0.8083924289905664,,0.7919274628162384,1,True
mlp,mhggnn,hetero,-0.22544959024949507,,0.792245477437973,1,True
mlp,mhggnn,legacy,-0.4592563006010923,,0.7848595917224884,1,True
mlp,mhggnn,outlier,-0.19823787796376932,,0.7307105362415314,1,True
mlp,mhggnn,quantile,-0.474060021205382,,0.7848595917224884,1,True
mlp,mhggnn,threshold,-0.7968105500394648,,0.7893323719501495,1,True
mlp,mhggnn,valprop,-0.7199800798989305,,0.792245477437973,1,True
mlp,mol2vec,hetero,-0.1766395789655772,,0.7820070683956146,1,True
mlp,mol2vec,legacy,-0.3438251313386542,,0.7820994158585867,1,True
mlp,mol2vec,outlier,-0.12615979530594568,,0.7883146643638611,1,True
mlp,mol2vec,quantile,-0.29071449631392354,,0.7820070683956146,1,True
mlp,mol2vec,threshold,-0.6564967242154208,,0.7820070683956146,1,True
mlp,mol2vec,valprop,-0.6318677540379342,,0.7820070683956146,1,True
mlp,morgan,hetero,-0.2528621250932867,,0.7693626582622528,1,False
mlp,morgan,legacy,-0.44459322582591654,,0.7693626582622528,1,False
mlp,morgan,outlier,-0.1438474167477001,,0.7693626582622528,1,False
mlp,morgan,quantile,-0.3851437015966934,,0.7693626582622528,1,False
mlp,morgan,threshold,-0.8367887751622635,,0.7693626582622528,1,False
mlp,morgan,valprop,-0.7573300813785708,,0.7693626582622528,1,False
mlp,pdv,hetero,-0.2064068284815696,,0.8220688104629517,1,False
mlp,pdv,legacy,-0.36116503151980317,,0.8205490171909332,1,False
mlp,pdv,outlier,-0.1382343999063125,,0.8216016829013825,1,False
mlp,pdv,quantile,-0.344934772903269,,0.8194783449172973,1,False
mlp,pdv,threshold,-0.7166000989350405,,0.8197499275207519,1,False
mlp,pdv,valprop,-0.6509190031288333,,0.8227169334888458,1,False
mlp,randomized_smiles,legacy,-0.5249239684204864,,0.6658633723855019,1,False
mlp,randomized_smiles,outlier,-0.13615461792608707,,0.668518340587616,1,False
mlp,randomized_smiles,quantile,-0.409388176058278,,0.6710994442303976,1,False
mlp,randomized_smiles,threshold,-1.011723055080934,,0.667071956396103,1,False
mlp,smiles,hetero,-0.3190908715580449,,0.7233297824859619,1,True
mlp,smiles,legacy,-0.5584089376709679,,0.7210412502288819,1,True
mlp,smiles,outlier,-0.15566763010891999,,0.7217958331108093,1,True
mlp,smiles,quantile,-0.458867172761397,,0.7210526943206788,1,True
mlp,smiles,threshold,-1.1241493804888292,,0.7224957764148712,1,True
mlp,smiles,valprop,-0.9787702533331784,,0.7256958603858947,1,True
mlp,sns,hetero,-0.288738030436063,,0.8137767314910889,1,False
mlp,sns,legacy,-0.48890489394014536,,0.813349449634552,1,False
mlp,sns,outlier,-0.18408308679407287,,0.8130695581436157,1,False
mlp,sns,quantile,-0.45253696116534153,,0.8130695581436157,1,False
mlp,sns,threshold,-0.9905407461253082,,0.813349449634552,1,False
mlp,sns,valprop,-0.8734862713651224,,0.8108057578404745,1,False
mlp_bnn_full,continuous_pdv,hetero,-0.21302072237236325,,0.8682875871658325,1,True
mlp_bnn_full,continuous_pdv,legacy,-0.38181345732224103,,0.8655526861548424,1,True
mlp_bnn_full,continuous_pdv,outlier,-0.14906136152720215,,0.8682875871658325,1,True
mlp_bnn_full,continuous_pdv,quantile,-0.35501007010238345,,0.8682875871658325,1,True
mlp_bnn_full,continuous_pdv,threshold,-0.7232302622361617,,0.8682875871658325,1,True
mlp_bnn_full,continuous_pdv,valprop,-0.6500786868008701,,0.8719416194491916,1,True
mlp_bnn_full,ecfp4,hetero,-0.2172386420796616,,0.78358294069767,1,True
mlp_bnn_full,ecfp4,legacy,-0.3880637768543127,,0.7858842551708222,1,True
mlp_bnn_full,ecfp4,outlier,-0.12850156859918072,,0.7859017193317414,1,True
mlp_bnn_full,ecfp4,quantile,-0.35065010677684433,,0.7858300864696502,1,True
mlp_bnn_full,ecfp4,threshold,-0.6983552520925348,,0.7859017193317414,1,True
mlp_bnn_full,ecfp4,valprop,-0.6277715940238078,,0.7871777282820808,1,True
mlp_bnn_full,morgan,hetero,-0.2256421872461685,,0.7592713501718309,1,False
mlp_bnn_full,morgan,legacy,-0.41571420166227546,,0.7594704760445489,1,False
mlp_bnn_full,morgan,outlier,-0.12457750159682648,,0.75785993039608,1,False
mlp_bnn_full,morgan,quantile,-0.35600220428572754,,0.7609979927539825,1,False
mlp_bnn_full,morgan,threshold,-0.8161833947355097,,0.7609979927539825,1,False
mlp_bnn_full,morgan,valprop,-0.7251299439656614,,0.7609979927539825,1,False
mlp_bnn_full,pdv,hetero,-0.1924205353163709,,0.8186614182260301,1,False
mlp_bnn_full,pdv,legacy,-0.3474375686862251,,0.8194397866725922,1,False
mlp_bnn_full,pdv,outlier,-0.12105407985773958,,0.8204723536968231,1,False
mlp_bnn_full,pdv,quantile,-0.30241520838304004,,0.8194397866725922,1,False
mlp_bnn_full,pdv,threshold,-0.6587760004130278,,0.8204723536968231,1,False
mlp_bnn_full,pdv,valprop,-0.5908763396318513,,0.8216583877801895,1,False
mlp_bnn_full,smiles,hetero,-0.19867893349040636,,0.7471081197261811,1,True
mlp_bnn_full,smiles,legacy,-0.3650299738753926,,0.7456528842449188,1,True
mlp_bnn_full,smiles,outlier,-0.11694073460318831,,0.7472617268562317,1,True
mlp_bnn_full,smiles,quantile,-0.336506368897178,,0.7493725597858429,1,True
mlp_bnn_full,smiles,threshold,-0.6795568921349265,,0.7432512998580932,1,True
mlp_bnn_full,smiles,valprop,-0.6107773771791748,,0.7412827491760254,1,True
mlp_bnn_full,sns,hetero,-0.22857642095498373,,0.8196717381477356,1,False
mlp_bnn_full,sns,legacy,-0.4108478253537959,,0.8210529923439026,1,False
mlp_bnn_full,sns,outlier,-0.14183557900515467,,0.8196717381477356,1,False
mlp_bnn_full,sns,quantile,-0.3385771469636398,,0.8200617790222168,1,False
mlp_bnn_full,sns,threshold,-0.7738174519755625,,0.8196717381477356,1,False
mlp_bnn_full,sns,valprop,-0.6882767714033224,,0.823761158519321,1,False
mlp_vbll,continuous_pdv,hetero,-0.2262786041606556,,0.8280447244644165,1,True
mlp_vbll,continuous_pdv,legacy,-0.38787906934516597,,0.8280447244644165,1,True
mlp_vbll,continuous_pdv,outlier,-0.13691758730194786,,0.8280447244644165,1,True
mlp_vbll,continuous_pdv,quantile,-0.3403217275335331,,0.8280447244644165,1,True
