k,arm,rep,model,dose,r2,base,ret
1.0,A Gaussian,2,RF,0.9873856615181004,0.8609293723321061,0.9282089461436186,0.9275167793942997
1.0,A Gaussian,2,LGBM,0.9873856615181004,0.8300313505379775,0.9379852864169321,0.8849087107844361
1.0,A Gaussian,2,Ridge,0.9873856615181004,0.8733263240288878,0.884274571945325,0.9876189497427795
1.0,B Student-t nu=10,0,RF,1.0042218980802782,0.8616900336601387,0.9282089461436186,0.9283362730343825
1.0,B Student-t nu=10,0,LGBM,1.0042218980802782,0.8298534393943715,0.9379852864169321,0.8847190370804001
1.0,B Student-t nu=10,0,Ridge,1.0042218980802782,0.8635743807889501,0.884274571945325,0.9765907651162734
1.0,B Student-t nu=10,1,RF,0.9982517897844028,0.8650105408631015,0.9282089461436186,0.9319136003341875
1.0,B Student-t nu=10,1,LGBM,0.9982517897844028,0.8255348414226105,0.9379852864169321,0.8801149158491834
1.0,B Student-t nu=10,1,Ridge,0.9982517897844028,0.871258470192728,0.884274571945325,0.9852804749050255
1.0,B Student-t nu=10,2,RF,0.9912603501446172,0.8505488378572553,0.9282089461436186,0.9163333766507922
1.0,B Student-t nu=10,2,LGBM,0.9912603501446172,0.8170415553062691,0.9379852864169321,0.8710600977839819
1.0,B Student-t nu=10,2,Ridge,0.9912603501446172,0.8467311688857111,0.884274571945325,0.9575432741698975
1.0,B Student-t nu=5,0,RF,0.9940937741775281,0.8533527696051282,0.9282089461436186,0.9193541746721021
1.0,B Student-t nu=5,0,LGBM,0.9940937741775281,0.8284057298609414,0.9379852864169321,0.8831756125145839
1.0,B Student-t nu=5,0,Ridge,0.9940937741775281,0.8826963830859632,0.884274571945325,0.9982152728242656
1.0,B Student-t nu=5,1,RF,0.9919612163308235,0.8449899242107151,0.9282089461436186,0.9103445164166438
1.0,B Student-t nu=5,1,LGBM,0.9919612163308235,0.815647397455018,0.9379852864169321,0.8695737654593281
1.0,B Student-t nu=5,1,Ridge,0.9919612163308235,0.8674493777733915,0.884274571945325,0.9809728847738779
1.0,B Student-t nu=5,2,RF,0.9964239152185482,0.8461691276225454,0.9282089461436186,0.9116149237066505
1.0,B Student-t nu=5,2,LGBM,0.9964239152185482,0.8173810504501886,0.9379852864169321,0.8714220385828789
1.0,B Student-t nu=5,2,Ridge,0.9964239152185482,0.8770117993187622,0.884274571945325,0.991786744912742
1.0,B Student-t nu=3,0,RF,1.0013224740601523,0.8288530072099433,0.9282089461436186,0.892959511598693
1.0,B Student-t nu=3,0,LGBM,1.0013224740601523,0.8295231868255281,0.9379852864169321,0.8843669499276208
1.0,B Student-t nu=3,0,Ridge,1.0013224740601523,0.8813153171608863,0.884274571945325,0.9966534661536987
1.0,B Student-t nu=3,1,RF,0.9754886784088891,0.858774613418435,0.9282089461436186,0.9251953635938774
1.0,B Student-t nu=3,1,LGBM,0.9754886784088891,0.8383009672328667,0.9379852864169321,0.8937250715681738
1.0,B Student-t nu=3,1,Ridge,0.9754886784088891,0.8666157093518629,0.884274571945325,0.9800301137749396
1.0,B Student-t nu=3,2,RF,0.9378623924900322,0.8521299282133157,0.9282089461436186,0.9180367542821211
1.0,B Student-t nu=3,2,LGBM,0.9378623924900322,0.841134562543555,0.9379852864169321,0.8967460094780983
1.0,B Student-t nu=3,2,Ridge,0.9378623924900322,0.888388468916918,0.884274571945325,1.0046522845981456
1.0,C Grouped lam=3,0,RF,0.9886236996145822,0.8872131845689964,0.9282089461436186,0.9558334772090432
1.0,C Grouped lam=3,0,LGBM,0.9886236996145822,0.8748431906635203,0.9379852864169321,0.9326832769471127
1.0,C Grouped lam=3,0,Ridge,0.9886236996145822,0.8712982755287317,0.884274571945325,0.9853254895840253
1.0,C Grouped lam=3,1,RF,1.004446031762848,0.8656359238849801,0.9282089461436186,0.932587352752193
1.0,C Grouped lam=3,1,LGBM,1.004446031762848,0.8375762852374318,0.9379852864169321,0.8929524773644809
1.0,C Grouped lam=3,1,Ridge,1.004446031762848,0.8739173761001087,0.884274571945325,0.9882873530758309
1.0,C Grouped lam=3,2,RF,0.9947999027814849,0.8499515151432138,0.9282089461436186,0.9156898548268287
1.0,C Grouped lam=3,2,LGBM,0.9947999027814849,0.8180891810930923,0.9379852864169321,0.8721769871446082
