kind,level,type,rep,model,dose,r2,base
noise,0.5,Student-t nu=3,2,Ridge,0.4897174213007514,0.8896365948339929,0.8973697977890748
noise,0.5,Grouped,0,RF,0.49409026753336177,0.8772279168201907,0.9194864335571435
noise,0.5,Grouped,0,LGBM,0.49409026753336177,0.8587754607497473,0.9212422032916183
noise,0.5,Grouped,0,Ridge,0.49409026753336177,0.8792228862759852,0.8973697977890748
noise,0.5,Grouped,1,RF,0.4890789976654428,0.8882677902189062,0.9194864335571435
noise,0.5,Grouped,1,LGBM,0.4890789976654428,0.8507368933178201,0.9212422032916183
noise,0.5,Grouped,1,Ridge,0.4890789976654428,0.8796613302917914,0.8973697977890748
noise,0.5,Grouped,2,RF,0.4861609211699605,0.8828118350445081,0.9194864335571435
noise,0.5,Grouped,2,LGBM,0.4861609211699605,0.8501658893744668,0.9212422032916183
noise,0.5,Grouped,2,Ridge,0.4861609211699605,0.8677451067384279,0.8973697977890748
noise,0.5,Outlier p=0.05,0,RF,0.5047982327642904,0.8926852565029267,0.9194864335571435
noise,0.5,Outlier p=0.05,0,LGBM,0.5047982327642904,0.8718450734653211,0.9212422032916183
noise,0.5,Outlier p=0.05,0,Ridge,0.5047982327642904,0.8868359144289729,0.8973697977890748
noise,0.5,Outlier p=0.05,1,RF,0.5112733926208304,0.8989715813800749,0.9194864335571435
noise,0.5,Outlier p=0.05,1,LGBM,0.5112733926208304,0.8764509273522443,0.9212422032916183
noise,0.5,Outlier p=0.05,1,Ridge,0.5112733926208304,0.8896918207919816,0.8973697977890748
noise,0.5,Outlier p=0.05,2,RF,0.49741702901076146,0.8921600972249831,0.9194864335571435
noise,0.5,Outlier p=0.05,2,LGBM,0.49741702901076146,0.8789910682536923,0.9212422032916183
noise,0.5,Outlier p=0.05,2,Ridge,0.49741702901076146,0.8854739124445357,0.8973697977890748
noise,0.75,Gaussian,0,RF,0.7458057875254427,0.879194410012788,0.9194864335571435
noise,0.75,Gaussian,0,LGBM,0.7458057875254427,0.8088504502998832,0.9212422032916183
noise,0.75,Gaussian,0,Ridge,0.7458057875254427,0.8645016367952019,0.8973697977890748
noise,0.75,Gaussian,1,RF,0.7436728110674952,0.8661606947355525,0.9194864335571435
noise,0.75,Gaussian,1,LGBM,0.7436728110674952,0.8194833782257991,0.9212422032916183
noise,0.75,Gaussian,1,Ridge,0.7436728110674952,0.871007196545323,0.8973697977890748
noise,0.75,Gaussian,2,RF,0.7345199305186818,0.8609737813541671,0.9194864335571435
noise,0.75,Gaussian,2,LGBM,0.7345199305186818,0.8220756876540322,0.9212422032916183
noise,0.75,Gaussian,2,Ridge,0.7345199305186818,0.8813284857194364,0.8973697977890748
noise,0.75,Student-t nu=3,0,RF,0.7589226391469942,0.831961493831357,0.9194864335571435
noise,0.75,Student-t nu=3,0,LGBM,0.7589226391469942,0.77890141663109,0.9212422032916183
noise,0.75,Student-t nu=3,0,Ridge,0.7589226391469942,0.859269472093736,0.8973697977890748
noise,0.75,Student-t nu=3,1,RF,0.7104414331790978,0.8897005406046667,0.9194864335571435
noise,0.75,Student-t nu=3,1,LGBM,0.7104414331790978,0.8424986243103509,0.9212422032916183
noise,0.75,Student-t nu=3,1,Ridge,0.7104414331790978,0.8748921732806971,0.8973697977890748
noise,0.75,Student-t nu=3,2,RF,0.7345761319511271,0.8699903809420607,0.9194864335571435
noise,0.75,Student-t nu=3,2,LGBM,0.7345761319511271,0.8160082363533042,0.9212422032916183
noise,0.75,Student-t nu=3,2,Ridge,0.7345761319511271,0.8789991261198135,0.8973697977890748
noise,0.75,Grouped,0,RF,0.7411354013000425,0.8410236944746035,0.9194864335571435
noise,0.75,Grouped,0,LGBM,0.7411354013000425,0.7906175053574691,0.9212422032916183
